model,epoch,Batch size,KLD,CC,s-AUC,KLD,CC,s-AUC
MultiHead_conv_output_22M_8,7,1,0.05645435,0.8369871,0.77289635,nan,nan,nan
model,epoch,Batch size,KLD,CC,s-AUC,KLD,CC,s-AUC
MultiHead_conv_output_22M_8,8,1,0.057222497,0.8102052,0.7721748,nan,nan,nan
model,epoch,Batch size,KLD,CC,s-AUC,KLD,CC,s-AUC
MultiHead_conv_output_22M_8,9,1,0.058127318,0.83080816,0.771759,nan,nan,nan
model,epoch,Batch size,KLD,CC,s-AUC,KLD,CC,s-AUC
MultiHead_conv_output_22M_8,10,1,0.05968007,0.8117289,0.770655,nan,nan,nan
model,epoch,Batch size,KLD,CC,s-AUC,KLD,CC,s-AUC
MultiHead_conv_output_22M_8,11,1,0.060074963,0.8132864,0.77018684,nan,nan,nan
model,epoch,Batch size,KLD,CC,s-AUC,KLD,CC,s-AUC
MultiHead_conv_output_22M_8,12,1,0.059864677,0.8237613,0.7707479,nan,nan,nan
model,epoch,Batch size,KLD,CC,s-AUC,KLD,CC,s-AUC
MultiHead_conv_output_22M_8,13,1,0.05902716,0.82137513,0.7724363,nan,nan,nan
model,epoch,Batch size,KLD,CC,s-AUC,KLD,CC,s-AUC
MultiHead_conv_output_22M_8,14,1,0.060311187,0.835289,0.7716334,nan,nan,nan
model,epoch,Batch size,KLD,CC,s-AUC,KLD,CC,s-AUC
MultiHead_conv_output_22M_8,10,1,0.1674909,0.8624425,0.68851465,nan,nan,nan
model,epoch,Batch size,KLD,CC,s-AUC,KLD,CC,s-AUC
MultiHead_conv_output_22M_8,10,1,0.0537445,0.8117289,0.77525145,nan,nan,nan
